tech_occupations,area,pr_st,med_inc,total_emp,country
1,Northwestern Wisconsin nonmetropolitan area,,77176.33494,350,US
1,Northeast Minnesota nonmetropolitan area,,77101.15098,230,US
1,Northeast Nebraska nonmetropolitan area,,77051.02834,800,US
1,Aguadilla-Isabela,PR,76994.64037,720,US
1,McAllen-Edinburg-Mission,TX,76957.04839,2150,US
1,East South Dakota nonmetropolitan area,,76894.39509,1870,US
1,Pine Bluff,AR,76850.53778,30,US
1,Sebastian-Vero Beach,FL,76831.74179,330,US
1,Southwest Louisiana nonmetropolitan area,,76825.47646,330,US
1,Southeast Oklahoma nonmetropolitan area,,76769.08849,1380,US
1,Tallahassee,FL,76762.82316,5170,US
1,Southeast Mississippi nonmetropolitan area,,76656.31255,1110,US
1,Dothan,AL,76599.92458,380,US
1,Northeast South Carolina nonmetropolitan area,,76593.65925,850,US
1,Baie-Comeau,Que.,76459.99388,120,Canada
1,Guelph,Ont.,76459.99388,3585,Canada
1,Woodstock,Ont.,76459.99388,345,Canada
1,Myrtle Beach-Conway-North Myrtle Beach,SC-NC,76349.31138,1420,US
1,Fort Smith,AR-OK,76261.59676,950,US
1,North Bay,Ont.,76205.12723,550,Canada
1,West South Dakota nonmetropolitan area,,76117.49417,810,US
1,Chatham-Kent,Ont.,75950.26058,605,Canada
1,Border Region of Texas nonmetropolitan area,,75917.00361,280,US
1,North Florida nonmetropolitan area,,75891.94229,1110,US
1,South Central Kentucky nonmetropolitan area,,75891.94229,1860,US
1,Jackson,TN,75810.493,640,US
1,Barrie,Ont.,75695.39394,3385,Canada
1,Winnipeg,Man.,75695.39394,15320,Canada
1,East Georgia nonmetropolitan area,,75559.8798,680,US
1,Bathurst,N.B.,75440.52729,40,Canada
1,Jonesboro,AR,74970.93878,600,US
1,Ocala,FL,74588.75365,950,US
1,Gadsden,AL,74569.95766,40,US
1,London,Ont.,74421.06071,10025,Canada
1,Beckley,WV,74319.34446,110,US
1,North Missouri nonmetropolitan area,,73993.5473,790,US
1,Lethbridge,Alta.,73911.32741,720,Canada
1,Salmon Arm,B.C.,73401.59412,30,Canada
1,Cape Girardeau,MO-IL,73160.25841,280,US
1,Halifax,N.S.,72891.86083,11855,Canada
1,Prince Albert,Sask.,72891.86083,55,Canada
1,Sept-Îles,Que.,72636.99418,130,Canada
1,St. Catharines - Niagara,Ont.,72636.99418,4310,Canada
1,Québec,Que.,72636.99418,27705,Canada
1,Sault Ste. Marie,Ont.,72636.99418,625,Canada
1,San Angelo,TX,72565.05206,500,US
1,Kawartha Lakes,Ont.,72382.12754,475,Canada
1,Carbondale-Marion,IL,72113.9483,510,US
1,Sebring,FL,72088.88698,30,US
1,Granby,Que.,71617.5276,1225,Canada
1,East Kentucky nonmetropolitan area,,71424.762,650,US
1,Nanaimo,B.C.,71362.66095,980,Canada
1,Fredericton,N.B.,71362.66095,3130,Canada
1,Stratford,Ont.,71362.66095,195,Canada
1,Abbotsford - Mission,B.C.,71107.7943,1390,Canada
1,Kingston,Ont.,71107.7943,2685,Canada
1,Northeast Louisiana nonmetropolitan area,,70365.92123,260,US
1,Medicine Hat,Alta.,70088.32772,280,Canada
1,Northwest Nebraska nonmetropolitan area,,69883.49082,340,US
1,Belleville - Quinte West,Ont.,69578.59443,860,Canada
1,Moncton,N.B.,69068.86113,2870,Canada
1,Chilliwack,B.C.,68813.99449,550,Canada
1,Peterborough,Ont.,68813.99449,1230,Canada
1,Lewiston,ID-WA,68787.05807,170,US
1,Orillia,Ont.,68712.04783,105,Canada
1,West Tennessee nonmetropolitan area,,68386.07695,1080,US
1,East Tennessee nonmetropolitan area,,68072.81045,1300,US
1,West Arkansas nonmetropolitan area,,67383.62415,420,US
1,Moose Jaw,Sask.,67284.79461,40,Canada
1,New Glasgow,N.S.,67284.79461,75,Canada
1,Cleveland,TN,66819.74445,430,US
1,Nelson,B.C.,66775.06132,35,Canada
1,Summerside,P.E.I.,66673.11466,80,Canada
1,Saint-Hyacinthe,Que.,66316.30135,430,Canada
1,Corner Brook,N.L.,66265.32803,40,Canada
1,Southwest Oklahoma nonmetropolitan area,,66212.00744,350,US
1,Prince George,B.C.,66163.38137,585,Canada
1,Norfolk,Ont.,65908.51472,150,Canada
1,Cape Breton,N.S.,65857.54139,295,Canada
1,Charlottetown,P.E.I.,65755.59473,1520,Canada
1,Yorkton,Sask.,65755.59473,40,Canada
1,Sorel-Tracy,Que.,65653.64807,205,Canada
1,Campbell River,B.C.,65245.86144,80,Canada
1,Trois-Rivières,Que.,64379.31484,2005,Canada
1,Rivière-du-Loup,Que.,63614.7149,265,Canada
1,East Arkansas nonmetropolitan area,,61419.02999,500,US
1,Rouyn-Noranda,Que.,61269.94176,185,Canada
1,Brandon,Man.,61117.02177,225,Canada
1,Virgin Islands,,60297.53592,210,US
1,Drummondville,Que.,60148.52852,1045,Canada
1,Miramichi,N.B.,59944.6352,35,Canada
1,Sherbrooke,Que.,59944.6352,4525,Canada
1,Farmington,NM,59257.49114,160,US
1,San Juan-Carolina-Caguas,PR,59238.69515,11740,US
1,North Arkansas nonmetropolitan area,,58468.05956,890,US
1,Mayaguez,PR,58405.40626,30,US
1,Victoriaville,Que.,58364.46199,495,Canada
1,Saguenay,Que.,56886.23544,2335,Canada
1,Truro,N.S.,56070.66218,160,Canada
1,Saint-Georges,Que.,53827.83569,320,Canada
1,Puerto Rico nonmetropolitan area,,53443.2649,50,US
1,Duncan,B.C.,53420.04905,90,Canada
1,Thetford Mines,Que.,53012.26242,55,Canada
1,Alma,Que.,52196.68915,65,Canada
1,Edmundston,N.B.,51381.11588,55,Canada
1,Salaberry-de-Valleyfield,Que.,51381.11588,135,Canada
1,Cranbrook,B.C.,50565.54262,40,Canada
1,Penticton,B.C.,50157.75598,75,Canada
1,Shawinigan,Que.,49546.07603,445,Canada
1,Cornwall,Ont.,48526.60945,175,Canada
1,Joliette,Que.,48016.87615,200,Canada
1,Guayama,PR,45661.72504,60,US
1,Matane,Que.,42002.0233,35,Canada
1,Ponce,PR,35806.36095,310,US
1,Arecibo,PR,34421.72302,80,US
